,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,,0.541,0.511,0.322,0.222,28.3,77.5,51.2,56.1,5.2,7,10,100,112.3,124.8,,,10,17,0.75,4,6,0.667,5,7,1,4,7,8,7,2,2,3,3,21,7,1.014,1,0.75,0.636,14.2,29,15.4,33.9,3.2,4.9,20,29.8,175,131,LAL,107,0,1,240,240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,,0.618,0.604,0.374,0.132,22.5,71.7,48.8,60.4,9.4,9.8,10.3,100,124.8,112.3,,,12,22,1,3,9,0.667,2,4,1,3,10,13,11,3,1,3,5,29,15,1,1,1,0.667,9.9,34.6,22.2,45.3,4.2,7.3,25,62.4,200,123,DEN,119,1,2024,10/24/23,FALSE
1,240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,,0.527,0.5,0.347,0.179,35.4,70.5,55,54.8,4.9,12.1,15.6,100,106.2,102.3,,,13,22,1,3,9,1,3,5,1,4,11,14,8,1,3,6,5,32,7,1.5,1.5,1,1.333,14.3,31.1,22.1,41.4,16.4,12.9,38.7,30.3,300,112,PHO,108,0,1,240,240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,,0.459,0.406,0.426,0.277,29.5,64.6,45,52.8,10.8,9.7,8.8,100,102.3,106.2,,,8,20,0.667,4,14,0.5,7,7,1,5,6,11,9,3,2,3,5,27,15,0.799,0.833,0.7,0.75,21.3,21.5,17.3,41.5,7.9,7.7,23.7,31.5,225,118,GSW,104,1,2024,10/24/23,TRUE
4,240,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,12,16,104,,0.51,0.479,0.447,0.191,25.5,85.3,49.4,66.7,10.2,7,10.5,100,105.8,126.2,,,9,20,0.75,3,9,0.75,6,6,1,4,8,9,4,3,2,4,3,20,3,0.917,0.917,1,0.429,17.7,77,30.8,33.6,5.3,7,32.2,38.6,155,134,CHI,104,1,0,240,240,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,15,19,124,,0.69,0.665,0.476,0.22,14.7,74.5,50.6,66.7,6.1,7.7,14.3,100,126.2,105.8,,,12,18,1,3,6,1,5,5,1,1,7,7,10,2,2,3,3,31,19,1.3,1.3,1,2,13.4,99.1,59.4,56.1,3,5.1,34.7,26.9,242,116,OKC,124,0,2024,10/25/23,FALSE
5,240,42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,14,20,116,,0.589,0.534,0.391,0.299,41.5,85.1,64.8,45.2,8.5,13.3,12.5,100,123.8,91.8,,,8,12,1,3,7,0.5,6,7,1,4,7,8,5,3,2,3,4,20,17,1.025,1,1,2,24.4,63.8,34.1,45.5,10.7,44.4,61.5,42.3,212,101,ORL,116,1,0,240,240,32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,18,24,86,,0.5,0.481,0.43,0.203,14.9,58.5,35.2,59.4,6.4,5.7,17.3,100,91.8,123.8,,,6,13,1,4,7,1,6,7,0.857,3,6,8,6,1,1,4,6,14,-2,1.5,1.5,1,0.7,22.1,24.7,15.3,46.2,4.6,8.1,33.3,32.2,300,133,HOU,86,0,2024,10/25/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,240,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,114,,0.545,0.5,0.308,0.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,100,112.2,128,,,8,16,0.8,2,6,0.5,6,8,1,4,8,11,6,2,1,4,4,24,2,0.8,0.8,0.6,0.778,43.2,37.5,40.1,94,6,4.3,34,33.5,149,136,UTA,114,1,0,240,240,47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,11,25,130,,0.587,0.554,0.5,0.196,28.3,65.2,45.5,61.7,5.9,12.7,9,100,128,112.2,,,11,18,1,5,9,0.75,6,7,1,6,6,12,7,2,2,3,4,33,14,1,1,1,0.5,16.9,82.4,38.3,37.5,6.1,6.6,25,31.1,204,123,SAC,130,0,2024,10/25/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,240,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,,0.603,0.579,0.393,0.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,100,111.8,118.4,,,9,17,1,3,6,0.667,4,6,1,3,7,9,7,2,2,5,5,23,4,1,1,1,0.571,11.4,30,19.8,31.5,3.9,8.4,50,25.3,173,125,SAS,119,1,0,240,240,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,,0.577,0.551,0.475,0.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,100,118.4,111.8,,,13,25,0.875,4,11,1,4,7,1,5,12,13,10,2,1,4,4,33,20,0.858,0.875,0.727,0.8,16,38.2,19.6,48.7,2.6,3.9,20.8,37.1,177,118,DAL,126,0,2024,10/25/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,240,42,84,0.5,9,27,0.333,20,26,0.769,13,37,50,30,6,6,17,16,113,,0.592,0.554,0.321,0.31,31,80.4,56.8,71.4,6.2,11.8,15.1,100,115.9,116.9,,,13,21,0.8,2,6,0.667,8,11,1,4,9,10,9,3,3,3,4,36,8,1,1,1,0.75,16.2,40.9,23.7,49.7,4.2,15.8,50,45.6,154,125,BRK,113,1,0,240,240,44,94,0.468,17,43,0.395,9,10,0.9,9,29,38,25,10,6,10,23,114,,0.579,0.559,0.457,0.106,19.6,69,43.2,56.8,10.3,10.5,9.2,100,116.9,115.9,,,11,21,1,7,13,0.538,4,5,1,3,12,12,6,4,2,6,5,27,13,1,1,1,0.5,10.6,35.2,16.8,27.6,5.5,5,50,26.6,200,125,CLE,114,0,2024,10/25/23,FALSE
